"X","Artist","Album","Song","Genres","AlbumNo"
1,"21 Savage","TheSlaughterTape","Track1","Trap",1
2,"21 Savage","TheSlaughterTape","Track1","Rap",1
3,"21 Savage","TheSlaughterTape","Track2","Rap",1
4,"21 Savage","TheSlaughterTape","Track3","Trap",1
5,"21 Savage","TheSlaughterTape","Track3","Rap",1
6,"21 Savage","TheSlaughterTape","Track4","Rap",1
7,"21 Savage","TheSlaughterTape","Track5","Horrorcore",1
8,"21 Savage","TheSlaughterTape","Track5","Rap",1
9,"21 Savage","TheSlaughterTape","Track6","Trap",1
10,"21 Savage","TheSlaughterTape","Track6","Rap",1
11,"21 Savage","TheSlaughterTape","Track7","Rap",1
12,"21 Savage","TheSlaughterTape","Track8","Rap",1
13,"21 Savage","TheSlaughterTape","Track9","Rap",1
14,"21 Savage","TheSlaughterTape","Track10","Trap",1
15,"21 Savage","TheSlaughterTape","Track10","Rap",1
16,"21 Savage","TheSlaughterTape","Track11","Trap",1
17,"21 Savage","TheSlaughterTape","Track11","Rap",1
18,"21 Savage","TheSlaughterTape","Track12","Rap",1
19,"21 Savage","TheSlaughterTape","Track13","Rap",1
20,"21 Savage","TheSlaughterTape","Track14","Rap",1
21,"21 Savage","SlaughterKing","Track1","Trap",2
22,"21 Savage","SlaughterKing","Track1","Rap",2
23,"21 Savage","SlaughterKing","Track2","Trap",2
24,"21 Savage","SlaughterKing","Track2","Rap",2
25,"21 Savage","SlaughterKing","Track3","Trap",2
26,"21 Savage","SlaughterKing","Track3","Rap",2
27,"21 Savage","SlaughterKing","Track4","Trap",2
28,"21 Savage","SlaughterKing","Track4","Rap",2
29,"21 Savage","SlaughterKing","Track5","Trap",2
30,"21 Savage","SlaughterKing","Track5","Rap",2
31,"21 Savage","SlaughterKing","Track6","Trap",2
32,"21 Savage","SlaughterKing","Track6","Rap",2
33,"21 Savage","SlaughterKing","Track7","Trap",2
34,"21 Savage","SlaughterKing","Track7","Rap",2
35,"21 Savage","SlaughterKing","Track8","Trap",2
36,"21 Savage","SlaughterKing","Track8","Rap",2
37,"21 Savage","SlaughterKing","Track9","Trap",2
38,"21 Savage","SlaughterKing","Track9","Rap",2
39,"21 Savage","SlaughterKing","Track10","Rap",2
40,"21 Savage","SlaughterKing","Track11","Rap",2
41,"21 Savage","SlaughterKing","Track12","Rap",2
42,"21 Savage","SlaughterKing","Track13","Trap",2
43,"21 Savage","SlaughterKing","Track13","Rap",2
44,"21 Savage","SlaughterKing","Track14","Rap",2
45,"21 Savage","SavageMode","Track1","Trap",3
46,"21 Savage","SavageMode","Track1","Rap",3
47,"21 Savage","SavageMode","Track2","Gangsta_Rap",3
48,"21 Savage","SavageMode","Track2","Hardcore_Hip-Hop",3
49,"21 Savage","SavageMode","Track2","Trap",3
50,"21 Savage","SavageMode","Track2","Rap",3
51,"21 Savage","SavageMode","Track3","Trap",3
52,"21 Savage","SavageMode","Track3","Rap",3
53,"21 Savage","SavageMode","Track4","Trap",3
54,"21 Savage","SavageMode","Track4","Rap",3
55,"21 Savage","SavageMode","Track5","Trap",3
56,"21 Savage","SavageMode","Track5","Rap",3
57,"21 Savage","SavageMode","Track6","Trap",3
58,"21 Savage","SavageMode","Track6","Rap",3
59,"21 Savage","SavageMode","Track7","Trap",3
60,"21 Savage","SavageMode","Track7","Rap",3
61,"21 Savage","SavageMode","Track8","Trap",3
62,"21 Savage","SavageMode","Track8","Rap",3
63,"21 Savage","SavageMode","Track9","Trap",3
64,"21 Savage","SavageMode","Track9","Rap",3
65,"21 Savage","IssaAlbum","Track1","Trap",5
66,"21 Savage","IssaAlbum","Track1","Rap",5
67,"21 Savage","IssaAlbum","Track2","Trap",5
68,"21 Savage","IssaAlbum","Track2","Rap",5
69,"21 Savage","IssaAlbum","Track3","Trap",5
70,"21 Savage","IssaAlbum","Track3","Rap",5
71,"21 Savage","IssaAlbum","Track4","Trap",5
72,"21 Savage","IssaAlbum","Track4","Rap",5
73,"21 Savage","IssaAlbum","Track5","Rap",5
74,"21 Savage","IssaAlbum","Track6","Rap",5
75,"21 Savage","IssaAlbum","Track7","Trap",5
76,"21 Savage","IssaAlbum","Track7","Rap",5
77,"21 Savage","IssaAlbum","Track8","Conscious_Hip-Hop",5
78,"21 Savage","IssaAlbum","Track8","Rap",5
79,"21 Savage","IssaAlbum","Track9","Trap",5
