"X.1","X","Platform","AlbumNo","Album","Song","Streams"
1,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track1",2.46
2,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track2",1.61
3,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track3",1.99
4,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track4",2.4
5,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track5",1.4
6,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track6",1.29
7,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track7",1.14
8,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track8",1.13
9,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track9",2.83
10,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track10",1.43
11,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track11",1.32
12,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track12",1.51
13,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track13",1.3
14,"21 Savage","Deezer",1,"The_Slaughter_Tape","Track14",1.59
15,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track1",10309504
16,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track2",6389098
17,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track3",3739942
18,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track4",4054112
19,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track5",4698964
20,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track6",3009834
21,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track7",1504157
22,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track8",1652225
23,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track9",2303131
24,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track10",2971091
25,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track11",3802229
26,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track12",2869470
27,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track13",1336226
28,"21 Savage","Spotify",1,"The_Slaughter_Tape","Track14",1954826
29,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track1",31895
30,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track2",13022
