"","Var1","Freq"
"1","Abstract_Rap",4
"2","Adult_Alternative",170
"3","Adult_Contemporary",255
"4","Afrobeats",14
"5","Alternative",497
"6","Alternative_Country",43
"7","Alternative_Dance",26
"8","Alternative_Metal",3
"9","Alternative_Pop",441
"10","Alternative_R&B",268
"11","Alternative_Rock",390
"12","Ambient",27
"13","Americana",61
"14","Art_Pop",58
"15","Art_Rock",12
"16","Baroque_Pop",50
"17","Bass_Music",3
"18","Bedroom_Pop",5
"19","Blue-Eyed_Soul",11
"20","Bluegrass",23
"21","Blues",32
"22","Blues_Rock",72
"23","Boom_Bap",61
"24","Bossa_Nova",3
"25","Bounce",20
"26","Breakbeat",3
"27","Bubblegum_Pop",70
"28","Celtic",4
"29","Chamber_Music",24
"30","Children's_Music",213
"31","Chill",14
"32","Chillout",4
"33","Christian",30
"34","Christian_Rap",13
"35","Classical_Crossover",13
"36","Classical_Music",22
"37","Cloud_Rap",73
"38","Conscious_Hip-Hop",144
"39","Conscious_Hip_Hop",4
"40","Contemporary_Folk",35
"41","Country",1589
"42","Country_Rap",8
"43","Crunk",18
"44","Dance",277
"45","Dance-Pop",276
"46","Dance_Pop",32
"47","Dancehall",69
"48","Dark_Ambient",5
"49","Dark_Cabaret",5
"50","Dark_Pop",81
"51","Deep_House",22
"52","Disco",20
"53","Diss_Track",5
"54","Doo-Wop",15
"55","Downtempo",13
"56","Dream_Pop",34
"57","Drill",7
"58","Drum_&_Bass",6
"59","Dubstep",20
"60","EDM",51
"61","Electro",47
"62","Electro-Funk",14
"63","Electro-Hop",27
"64","Electro-Pop",484
"65","Electro-Soul",3
"66","Electro_Hop",2
"67","Electro_House",84
"68","Electro_Pop",39
"69","Electronic",425
"70","Electronic_Rock",54
"71","Electronic_Trap",20
"72","Electronica",22
"73","Emo",46
"74","Emo_Pop",5
"75","Emo_Rap",87
"76","Emo_Trap",42
"77","Experimental",50
"78","Experimental_Hip-Hop",51
"79","Experimental_Pop",11
"80","Experimental_Rock",8
"81","Folk",187
"82","Folk_Pop",75
"83","Folk_Rock",243
"84","Freestyle",21
"85","Funk",74
"86","Funk-Pop",30
"87","Funk_Nacional",1
"88","Funk_Rock",16
"89","Future_Bass",18
"90","Future_House",20
"91","G-Funk",12
"92","Gangsta_Rap",43
"93","Glam_Metal",5
"94","Glam_Rock",25
"95","Glitch_Hop",6
"96","Gospel",43
"97","Gothic_Rock",3
"98","Grime",3
"99","Grunge",3
"100","Hard_Rock",35
"101","Hardcore_Hip-Hop",159
"102","Hardcore_Hip_Hop",6
"103","Heartland_Rock",226
"104","Hip-Hop",344
"105","Hip_Hop",7
"106","Honky_Tonk",10
"107","Horrorcore",64
"108","House",94
"109","Hyphy",6
"110","Indie",75
"111","Indie_Folk",11
"112","Indie_Pop",78
"113","Indie_Rap",46
"114","Indie_Rock",78
"115","Industrial",17
"116","Industrial_Hip-Hop",15
"117","Industrial_Rock",4
"118","Instrumental",62
"119","Jazz",140
"120","Jazz-Funk",3
"121","Jazz_Fusion",24
"122","Jazz_Rap",49
"123","Latin_Trap",7
"124","Liner_Notes",6
"125","Lo-Fi",24
"126","Metal",8
"127","Modern_Classical",4
"128","Neo-Psychedelia",10
"129","Neo_Soul",83
"130","New_Jack_Swing",7
"131","New_Orleans_R&B",1
"132","New_Wave",39
"133","Non-Music",96
"134","Nu-Metal",3
"135","Nu_Disco",53
"136","Orchestral",71
"137","Outlaw_Country",8
"138","Pop",4775
"139","Pop-Punk",51
"140","Pop-Rock",742
"141","Pop_Country",332
"142","Pop_Rap",50
"143","Pop_Rock",2
"144","Posse_Cut",13
"145","Post-Grunge",9
"146","Post-Punk",32
"147","Post-Punk_Revival",4
"148","Post-Rock",3
"149","Power_Pop",147
"150","Progressive_House",22
"151","Progressive_Rock",5
"152","Psychedelic",46
"153","Psychedelic_Rock",16
"154","Psychedelic_Soul",3
"155","Punk_Rock",62
"156","R&B",1784
"157","Ragga",4
"158","Rap",4070
"159","Rap_Rock",63
"160","Reggae",40
"161","Reggae_Rock",4
"162","Reggaetón",12
"163","Rock",2895
"164","Rockabilly",14
"165","Scandinavia",1
"166","Screamo",3
"167","Shoegaze",4
"168","Ska",8
"169","Skit",72
"170","Slowcore",3
"171","Smooth_Jazz",3
"172","Soft_Rock",36
"173","Soul",213
"174","Soul_Jazz",4
"175","Soul_Pop",139
"176","Soul_Rap",1
"177","Space_Rock",3
"178","Spoken_Word",59
"179","Sverige",1
"180","Swing",3
"181","Synth-Pop",263
"182","Synth_Pop",1
"183","Synth_Rock",24
"184","Synthwave",11
"185","Techno",26
"186","Teen_Pop",289
"187","Trance",7
"188","Trap",1211
"189","Trap_Metal",2
"190","Trip-Hop",20
"191","Tropical_House",33
"192","Underground_Hip-Hop",12
