"","X.duration_ms.","X.key.","X.mode.","X.time_signature.","X.acousticness.","X.danceability.","X.energy.","X.instrumentalness.","X.liveliness.","X.loudness.","X.speechiness.","X.valence.","X.tempo.","Country","Pop","Pop-Rock","R&B","Rap","Rock","Trap"
"X.duration_ms.",1,0.00464573969067143,-0.041975300334873,0.0193344476055136,0.0113328561843394,-0.238839717541623,0.00442097629840123,0.335844388803068,0.118722708338069,-0.119807711456392,-0.0141387994931148,-0.187096851029495,-0.139490817330999,-0.0548194350651804,-0.0989880517501087,-0.00783488480523301,0.0787477842369419,-0.0300648630465215,0.182437298285757,-0.0974694733088158
"X.key.",0.00464573969067143,1,-0.0808697436842518,0.0788474255308943,-0.0737692172300556,0.0074016668836336,0.109179360215899,-0.0761591989855034,0.0390624872383755,0.103159029832593,0.0363616772177429,0.100568195348599,0.0242709931762397,-0.0283811849548331,0.0336015958974812,-0.00200937047496041,0.0439693453151934,0.0186608352248437,-0.0823941448497582,-0.0812346952442831
"X.mode.",-0.041975300334873,-0.0808697436842518,1,0.061799220280676,0.000205556530755902,-0.189827749561228,0.0357585116193199,-0.0370599860193908,-0.0112216934454912,0.00249413988591852,-0.161487317915105,0.0817822301892888,0.090303362298299,0.223109939979165,-0.0745761922762578,0.10415018958705,-0.219738233594674,-0.226382199785314,0.256191395914157,-0.0776962009182105
"X.time_signature.",0.0193344476055136,0.0788474255308943,0.061799220280676,1,-0.108121971930089,0.050864300446498,0.0822526816787495,-0.230346017149424,-0.134015820941271,0.207718181350825,-0.118404210279257,0.0246380185518788,0.0312224727077863,0.0208894724260196,0.0391081057554564,0.0125100990493461,0.0185615117300953,-0.0322909287651416,-0.0123814537282186,0.015134465399986
"X.acousticness.",0.0113328561843394,-0.0737692172300556,0.000205556530755902,-0.108121971930089,1,-0.236294909930341,-0.632706812414762,0.272103655805923,-0.0261555165403452,-0.517353544817988,-0.0967972127307321,-0.21322846416434,-0.223535041226285,0.0285669951293815,0.00682648773469507,-0.116136765184146,-0.0136328729344682,-0.0970633851253796,0.0320232222935096,-0.0754583081861796
"X.danceability.",-0.238839717541623,0.0074016668836336,-0.189827749561228,0.050864300446498,-0.236294909930341,1,0.0314776647890503,-0.285807794800572,-0.0861110511205885,0.221961452000397,0.445469022163419,0.231690355012942,-0.020417349341793,-0.16076456322464,0.0112811409013361,-0.145551520928357,0.0704199034837426,0.507966517452115,-0.502134967599209,0.395017767124757
"X.energy.",0.00442097629840123,0.109179360215899,0.0357585116193199,0.0822526816787495,-0.632706812414762,0.0314776647890503,1,-0.181023018347884,0.184574595630894,0.750418146788358,0.004014377309727,0.443489838484225,0.161385101064416,0.0754846464135403,-0.00333962645382428,0.145856215997177,-0.0996881386148446,0.0124898581616834,0.0736060199937379,-0.127845458160626
"X.instrumentalness.",0.335844388803068,-0.0761591989855034,-0.0370599860193908,-0.230346017149424,0.272103655805923,-0.285807794800572,-0.181023018347884,1,0.134929310668898,-0.330361671402527,-0.081598185611896,-0.118788023818088,-0.0773188129702359,-0.063615159948239,-0.0741325864144769,-0.036181120752221,-0.0528427579339003,-0.0971331969306209,0.19962022108849,-0.0409029933660871
"X.liveliness.",0.118722708338069,0.0390624872383755,-0.0112216934454912,-0.134015820941271,-0.0261555165403452,-0.0861110511205885,0.184574595630894,0.134929310668898,1,-0.0210914235133713,0.273831912129918,0.108180892896143,-0.0666749222915837,-0.16060624533372,-0.143000538746718,-0.0456131504794467,-0.0802667583954214,0.220308933350085,0.019063955021491,-0.0313927072965733
"X.loudness.",-0.119807711456392,0.103159029832593,0.00249413988591852,0.207718181350825,-0.517353544817988,0.221961452000397,0.750418146788358,-0.330361671402527,-0.0210914235133713,1,-0.0079312384164197,0.237249439151482,0.131266935837248,0.0987976696095118,0.142160230553463,0.0735394630465717,0.036078651842687,0.0600577830317183,-0.211396196387925,0.0217539260794748
