"","X.duration_ms.","X.key.","X.mode.","X.time_signature.","X.acousticness.","X.danceability.","X.energy.","X.instrumentalness.","X.liveliness.","X.loudness.","X.speechiness.","X.valence.","X.tempo.","Country","Pop","Pop.Rock","R.B","Rap","Rock","Trap","Streams","Time"
"X.duration_ms.",1,-0.0941848485703332,-0.0307838558878134,NA,-0.219910635453938,-0.121859328053578,0.170659716849837,0.188981557941497,0.237758115809712,-0.0480809316787593,0.130380992598169,-0.0129066178850691,-0.297295695792957,-0.106273812823565,-0.102424736694799,-0.108938098612404,0.207169536294633,0.00626181968572482,0.160965440700909,-0.193317419448857,-0.0188161250650582,-0.444100456135115
"X.key.",-0.0941848485703332,1,-0.0961314255728284,NA,-0.170155044344889,0.240454934237618,0.308119930475654,0.0292928776808754,0.233242701067075,0.283822214946522,0.170486228677645,0.326606073393061,0.0259876355444889,-0.0262747005917504,-0.0492157804713195,-0.077189215410348,0.0427513411747599,0.152771923812145,-0.232120973940079,-0.0678864054020717,0.0392425744563792,-0.133310318207621
"X.mode.",-0.0307838558878134,-0.0961314255728284,1,NA,0.0368165985361588,-0.30612522643542,-0.0226511427957286,0.0598214183720262,-0.0538442220584497,-0.0834607092012695,-0.0478051426018704,-0.0977806831400845,0.0470947764545553,0.17291712531127,-0.0630592563782601,0.0983210288016693,-0.325313226159665,-0.146357346761566,0.20756661635908,-0.0648938232256426,0.045806693909287,-0.0938222418630195
"X.time_signature.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X.acousticness.",-0.219910635453938,-0.170155044344889,0.0368165985361588,NA,1,-0.0477157246792144,-0.725606689758885,0.0471297412026754,-0.182553294688669,-0.569487263879664,-0.0630325187356561,-0.33845431294011,-0.238368151808708,-0.00611698332304126,0.0113157726987156,-0.163055260927069,-0.011938475839236,-0.0636054460705521,-0.0373466674394212,-0.044066989296914,0.148777176332365,0.149265913382778
"X.danceability.",-0.121859328053578,0.240454934237618,-0.30612522643542,NA,-0.0477157246792144,1,-0.0575428887323136,-0.294605679530602,0.185456244279289,0.078436563273619,0.567219557109138,0.235275304197511,-0.0205291790545293,-0.272158187436402,-0.0326991977648262,-0.217096313310346,0.0863048512465464,0.598251243890342,-0.523765657384729,0.468020170829845,0.150516005366177,0.238484265351485
"X.energy.",0.170659716849837,0.308119930475654,-0.0226511427957286,NA,-0.725606689758885,-0.0575428887323136,1,-0.0892884435256255,0.317442382990601,0.770011377644633,0.0236516123287388,0.596252874120067,0.169822500737704,0.17597860044704,-0.0362796122282845,0.258475787796026,-0.121888985110578,0.0298273492568802,0.10007026837567,-0.157581886120624,-0.233078441673934,-0.203756580196035
"X.instrumentalness.",0.188981557941497,0.0292928776808754,0.0598214183720262,NA,0.0471297412026754,-0.294605679530602,-0.0892884435256255,1,0.0389286973793969,-0.277915383419885,-0.140929691420794,-0.127294333553968,0.0658616227110929,-0.0261096929959899,-0.153667478158307,-0.0494655070853356,-0.0713222522250764,-0.135770447950612,0.329972684426446,-0.0687538617973768,0.0204012002591902,-0.307757828858954
"X.liveliness.",0.237758115809712,0.233242701067075,-0.0538442220584497,NA,-0.182553294688669,0.185456244279289,0.317442382990601,0.0389286973793969,1,0.210967941502834,0.566278253366591,0.195675725077861,-0.228107637831476,-0.181181030662129,-0.288791634329929,0.000952534685738584,-0.00830971995441771,0.498447022275551,-0.116213151555931,-0.0291078896708373,0.0584008953989502,-0.186708427323292
"X.loudness.",-0.0480809316787593,0.283822214946522,-0.0834607092012695,NA,-0.569487263879664,0.078436563273619,0.770011377644633,-0.277915383419885,0.210967941502834,1,-0.0453839793690393,0.404819318787561,0.222444811865455,0.10476664629054,0.173004071557241,0.161938656185505,-0.0893580721215872,0.0555316840204884,-0.209031529024103,0.010282905500028,-0.0407267108106587,0.15497779418643
