"Variables","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"Duration",-0.0365272946637957,0.0826982706957391,0.00659459877992889,-0.582003414775561,-0.14722014892992,0.288088726893362,-0.0278449470476064,0.260749749994719,-0.176756643300246,-0.00199536764459117,-0.00132153154721099,0.379945238350591,0.125929303864879,0.450274851155689,0.243979086859408,-0.0773831892974253,-0.128305864377052,0.0273074690057954,-0.0513406143229829,0.00707607497316607
"Acousticness",-0.315890896129456,-0.335493556825057,-0.0215179533156704,0.187203568382418,-0.0294417971229922,0.0133630620875474,0.0465667340913252,0.00351218905671665,-0.0254316452102593,-0.236686560268717,0.00541293575353632,0.0701212027087251,-0.0819914084875131,0.0730297056250496,0.210815767860511,-0.670515194379165,0.271287287738405,-0.248415802134325,-0.00177024633395896,0.214263553864396
"Danceability",0.373196375475522,-0.0728539766762715,-0.0843355023385299,0.214377717711836,-0.146388121683026,-0.143391617291332,0.307038605334991,0.214021113034602,0.116201759422669,0.142609497998469,-0.0542574416733956,-0.0469638428662876,0.0672115050859395,0.404727078950579,0.142292979371608,0.303274716921452,0.306110296266396,-0.414402245512737,-0.0677946275636952,0.175257591463517
"Energy",0.314912393920285,0.441097869867954,0.0716599377882754,-0.0158525772514304,0.130217727499835,0.108501091182166,-0.155585740191838,-0.00579681373984457,-0.00786298521971718,0.109975264371983,0.0404155313314817,0.0252219372808936,0.000449726397249865,-0.181792064633348,-0.00271982771980791,-0.208533812073615,-0.0445852734676791,-0.0530900578742712,0.0674437508415302,0.739988798074752
"Instrumentalness",-0.181443235039588,-0.0464055792998677,0.116329602370111,-0.0890967630793978,0.324536549035719,0.128929179117443,-0.0141916188835603,0.23374915645963,0.64296141280575,0.363519241165052,0.221708646608952,0.00941710832562554,0.0649640623276586,-0.182100334689679,0.350740419074516,0.00654203550633872,0.0374464245364983,-0.0485751426970197,-0.00898524158509296,-0.0871392689337382
"Liveliness",0.0849080599958664,-0.0392888992033795,0.177689038732926,0.0786469482488333,0.453203154855632,0.212031818315557,-0.451568248415372,0.120042120011983,-0.122831105218572,-0.310965102440717,0.126194199661557,-0.421833358627319,-0.0960632743031737,0.372836446883031,0.067634118475924,0.122585711326727,0.0920790883531119,-0.0173406626205609,-0.0128165489678714,-0.0487670733981874
"Loudness",0.320486090961513,0.388094539607072,-0.0876311639486838,-0.07228480135936,-0.121690522012783,0.014655266912137,-0.175861900287002,-0.0918835889065679,-0.102397629144253,0.120295724730572,0.154137139187999,-0.0696350658870141,-0.0398235589654476,-0.141310790008812,0.0882951416404165,-0.348074792980901,0.225075561669772,-0.34860223098264,-0.120972188989999,-0.537109336579882
"Speechiness",0.291942661911053,-0.308449051755832,0.162270840213449,0.105757830588338,0.236194385648335,-0.0236536264541005,-0.0467380442738546,0.00992245872119504,-0.145476545425929,-0.175609290081613,-0.106677684201216,0.31042507495419,0.120528469785248,-0.271501245514388,0.182014188212079,0.0636266720868708,-0.501217559469004,-0.412249754680622,-0.103370463239191,-0.0803997743006304
"Valence",0.212142585363467,0.240046679513582,0.0373239155709892,0.493103964513272,0.131803478427311,0.0844463360947884,0.137247244782494,0.164879376785472,0.188501367885469,-0.0310270522111997,-0.298279052872142,0.184520986735364,0.108376473759061,0.270510650570095,0.0110476208562555,-0.323281820090231,-0.172818425195167,0.390634608077328,0.0217717740814951,-0.224274521125033
"Tempo",0.0470547975983205,0.147629336782752,0.123545601193839,-0.212005297888864,0.0597109089014664,-0.316099429890744,-0.179116744195893,-0.464087314724819,0.464710019500608,-0.406545774123274,-0.16946919259785,0.284867468287564,0.0586165485566875,0.158857134455452,0.0263332308064405,0.0841286171958043,0.187698423333679,-0.0439580982461116,-0.00910920663213931,0.00669957393120116
