"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.49668700943631,0.102726796309833,53.5078208110165,0
"X.duration_ms.",0.0762632621355141,0.0095985208936675,7.94531396872072,2.13861911663816e-15
"X.mode.",-0.0616476415648201,0.0200305980373932,-3.07767353973835,0.00209169411869533
"X.time_signature.",0.284468276994955,0.025379111006898,11.2087565603712,5.42652084854662e-29
"X.danceability.",0.0852357789878805,0.0112058273938298,7.6063797872537,3.06407632232206e-14
"X.energy.",0.0807246201484829,0.0105903548251059,7.62246605346162,2.70718198096887e-14
"X.instrumentalness.",-0.0754658527085472,0.0094781015738791,-7.96212744929059,1.86862928370037e-15
"X.liveliness.",-0.0439812845701899,0.00953748753147653,-4.61141201233958,4.04743973553761e-06
"X.speechiness.",-0.0630890456237085,0.010911827680209,-5.78171205343853,7.60868554555181e-09
"X.valence.",-0.158794584306168,0.0112942087974981,-14.0598236807296,1.72124201173947e-44
"X.tempo.",0.0154029417642965,0.00947084182549799,1.62635402935648,0.103904848659023
"Country",0.238380560687037,0.0295841947918249,8.05769980776725,8.63198226557703e-16
"Pop",0.544470216920885,0.0227073504486282,23.977707929979,1.08924291383993e-123
"Pop.Rock",0.456363926449228,0.0408923718574829,11.1601236543514,9.3273892864356e-29
"R.B",0.403450531115345,0.0269777022455245,14.9549627111878,4.81574957365988e-50
"Rock",-0.0616751903499349,0.0270765719899969,-2.27780645100569,0.0227584369141129
"Trap",0.659996204089636,0.0339881517026507,19.4184199795179,1.57675995691244e-82
